,sample,mean_MMI,sd_MMI,var_MMI,mean_MMI_rescale,sd_MMI_rescale,,,Subsample Count,OE_X,OE_sd,MMI_X,MMI_sd,MMI.rescale_sd,MMI.rescale_X
179,35758-ORDEQ:19990808:R:SR,0.696803032,0.015357772,0.000235861,0.954524702,0.021038044,,,,,,,,,
180,35763-ORDEQ:19990805:R:SR,0.737469669,0.024416298,0.000596156,1.010232424,0.033446984,,,,,,,,,
181,35767-ORDEQ:19990817:R:SR,0.681996451,0.018166658,0.000330027,0.934241713,0.024885833,,,,,,,,,
182,35769-ORDEQ:19990816:R:SR,0.664074224,0.029654192,0.000879371,0.909690718,0.040622181,,,,,,,,,
183,35770-ORDEQ:19990819:R:SR,0.629768826,0.03052547,0.000931804,0.862697021,0.041815712,,,,,,,,,
184,35772-ORDEQ:19990817:R:SR,0.669827281,0.031398437,0.000985862,0.917571618,0.043011558,,,,,,,,,
185,35773-ORDEQ:19990818:R:SR,0.752216946,0.008806649,7.76E-05,1.030434173,0.012063903,,,,,,,,,
186,35791-ORDEQ:19990809:R:SR,0.708390364,0.021254247,0.000451743,0.970397759,0.029115407,,,,,,,,,
187,35792-ORDEQ:19990811:R:SR,0.699643254,0,0,0.958415417,0,,,,,,,,,
188,35794-ORDEQ:20150819:R:SR,0.727212152,0.027191976,0.000739404,0.99618103,0.037249282,,,,,,,,,
189,35830-ORDEQ:20000720:R:SR,0.710703601,0.024097254,0.000580678,0.973566576,0.033009937,,,,,,,,,
190,35847-ORDEQ:20020613:R:SR,0.69771468,0.022257663,0.000495404,0.955773534,0.030489949,,,,,,,,,
191,35853-ORDEQ:20010613:R:SR,0.6705244,0.026367686,0.000695255,0.918526575,0.036120118,,,,,,,,,
192,35883-ORDEQ:20020816:R:SR,0.683732197,0.039917226,0.001593385,0.936619448,0.054681132,,,,,,,,,
193,35939-ORDEQ:20090812:T:SR,0.836199548,0.030791492,0.000948116,1.145478833,0.042180126,,,,,,,,,
194,35940-ORDEQ:20090813:T:SR,0.747258815,0.031431279,0.000987925,1.023642212,0.043056547,,,,,,,,,
195,35952-ORDEQ:20090818:R:SR,0.725681169,0.034242123,0.001172523,0.994083793,0.046907018,,,,,,,,,
196,35953-ORDEQ:20090818:R:SR,0.798560319,0.029023332,0.000842354,1.093918245,0.039757989,,,,,,,,,
197,37278-ORDEQ:20140915:R:SR,0.80465247,0.032453729,0.001053245,1.102263657,0.044457163,,,,,,,,,
198,38114-ORDEQ:20150630:R:SR,0.813538958,0.020163758,0.000406577,1.114436928,0.027621586,,,,,,,,,
199,38116-ORDEQ:20150706:R:SR,0.737826943,0.03251863,0.001057461,1.010721839,0.044546068,,,,,,,,,
